Provided,binomial,common,combined,Species
Gadus morhua (Atlantic cod),gadus morhua,atlantic cod,"""gadus morhua"" OR ""atlantic cod""",Gadus morhua (Atlantic cod)
Melanogrammus aeglefinus (Haddock),melanogrammus aeglefinus,haddock,"""melanogrammus aeglefinus"" OR ""haddock""",Melanogrammus aeglefinus (Haddock)
Myzopetta ferruginea (Yellowtail flounder),myzopetta ferruginea,yellowtail flounder,"""myzopetta ferruginea"" OR ""yellowtail flounder""",Myzopetta ferruginea (Yellowtail flounder)
"Pollachius virens (Pollock, Saithe)",pollachius virens,"pollock, saithe","""pollachius virens"" OR ""pollock"" OR ""saithe""","Pollachius virens (Pollock, Saithe)"
"Hippoglossoides platessoides (American Plaice, Long rough dab)",hippoglossoides platessoides,"american plaice, long rough dab","""hippoglossoides platessoides"" OR ""american plaice"" OR ""long rough dab""","Hippoglossoides platessoides (American Plaice, Long rough dab)"
Glyptocephalus cynoglossus (Witch flounder),glyptocephalus cynoglossus,witch flounder,"""glyptocephalus cynoglossus"" OR ""witch flounder""",Glyptocephalus cynoglossus (Witch flounder)
Urophycis tenuis (White hake),urophycis tenuis,white hake,"""urophycis tenuis"" OR ""white hake""",Urophycis tenuis (White hake)
Pseudopleuronectes americanus (Winter flounder),pseudopleuronectes americanus,winter flounder,"""pseudopleuronectes americanus"" OR ""winter flounder""",Pseudopleuronectes americanus (Winter flounder)
Sebastes fasciatus (Acadian redfish),sebastes fasciatus,acadian redfish,"""sebastes fasciatus"" OR ""acadian redfish""",Sebastes fasciatus (Acadian redfish)
Hippoglossus hippoglossus (Atlantic halibut),hippoglossus hippoglossus,atlantic halibut,"""hippoglossus hippoglossus"" OR ""atlantic halibut""",Hippoglossus hippoglossus (Atlantic halibut)
"Scopthalmus aquosus (Windowpane, Windowpane flounder)",scopthalmus aquosus,"windowpane, windowpane flounder","""scopthalmus aquosus"" OR ""windowpane"" OR ""windowpane flounder""","Scopthalmus aquosus (Windowpane, Windowpane flounder)"
Zoarces americanus (Ocean pout),zoarces americanus,ocean pout,"""zoarces americanus"" OR ""ocean pout""",Zoarces americanus (Ocean pout)
Anarhichas lupus (Atlantic wolffish),anarhichas lupus,atlantic wolffish,"""anarhichas lupus"" OR ""atlantic wolffish""",Anarhichas lupus (Atlantic wolffish)
Placopecten magellanicus (Atlantic sea scallop),placopecten magellanicus,atlantic sea scallop,"""placopecten magellanicus"" OR ""atlantic sea scallop""",Placopecten magellanicus (Atlantic sea scallop)
"Lophius americanus (Goosefish, Monkfish, American angler)",lophius americanus,"goosefish, monkfish, american angler","""lophius americanus"" OR ""goosefish"" OR ""monkfish"" OR ""american angler""","Lophius americanus (Goosefish, Monkfish, American angler)"
Clupea harengus (Atlantic herring),clupea harengus,atlantic herring,"""clupea harengus"" OR ""atlantic herring""",Clupea harengus (Atlantic herring)
Leucoraja ocellata (Winter skate),leucoraja ocellata,winter skate,"""leucoraja ocellata"" OR ""winter skate""",Leucoraja ocellata (Winter skate)
Amblyraja radiata (Thorny skate),amblyraja radiata,thorny skate,"""amblyraja radiata"" OR ""thorny skate""",Amblyraja radiata (Thorny skate)
Leucoraja erinaceus (Little skate),leucoraja erinaceus,little skate,"""leucoraja erinaceus"" OR ""little skate""",Leucoraja erinaceus (Little skate)
Dipturus laevis (Barndoor skate),dipturus laevis,barndoor skate,"""dipturus laevis"" OR ""barndoor skate""",Dipturus laevis (Barndoor skate)
Rostroraja eglanteria (Clearnose skate),rostroraja eglanteria,clearnose skate,"""rostroraja eglanteria"" OR ""clearnose skate""",Rostroraja eglanteria (Clearnose skate)
"Leucoraja garmani (Rosette skate, Freckled skate)",leucoraja garmani,"rosette skate, freckled skate","""leucoraja garmani"" OR ""rosette skate"" OR ""freckled skate""","Leucoraja garmani (Rosette skate, Freckled skate)"
Malacoraja senta (Smooth skate),malacoraja senta,smooth skate,"""malacoraja senta"" OR ""smooth skate""",Malacoraja senta (Smooth skate)
Merluccius bilinearis (Silver hake),merluccius bilinearis,silver hake,"""merluccius bilinearis"" OR ""silver hake""",Merluccius bilinearis (Silver hake)
Urophycis chuss (Red hake),urophycis chuss,red hake,"""urophycis chuss"" OR ""red hake""",Urophycis chuss (Red hake)
Mercluccius albidus (Offshore hake),mercluccius albidus,offshore hake,"""mercluccius albidus"" OR ""offshore hake""",Mercluccius albidus (Offshore hake)
Squalus acanthias (Spiny dogfish),squalus acanthias,spiny dogfish,"""squalus acanthias"" OR ""spiny dogfish""",Squalus acanthias (Spiny dogfish)
Salmo salar (Atlantic salmon),salmo salar,atlantic salmon,"""salmo salar"" OR ""atlantic salmon""",Salmo salar (Atlantic salmon)
Paralichthys dentatus (Summer flounder),paralichthys dentatus,summer flounder,"""paralichthys dentatus"" OR ""summer flounder""",Paralichthys dentatus (Summer flounder)
Stenotomus chrysops (Scup),stenotomus chrysops,scup,"""stenotomus chrysops"" OR ""scup""",Stenotomus chrysops (Scup)
"Centropristis striata (Black sea bass, Black seabass)",centropristis striata,"black sea bass, black seabass","""centropristis striata"" OR ""black sea bass"" OR ""black seabass""","Centropristis striata (Black sea bass, Black seabass)"
Scomber scombrus (Atlantic mackerel),scomber scombrus,atlantic mackerel,"""scomber scombrus"" OR ""atlantic mackerel""",Scomber scombrus (Atlantic mackerel)
"Peprilus triacanthus (Butterfish, Atlantic butterfish)",peprilus triacanthus,"butterfish, atlantic butterfish","""peprilus triacanthus"" OR ""butterfish"" OR ""atlantic butterfish""","Peprilus triacanthus (Butterfish, Atlantic butterfish)"
"Doryteuthis pealeii (Longfin squid, Longfin inshore squid)",doryteuthis pealeii,"longfin squid, longfin inshore squid","""doryteuthis pealeii"" OR ""longfin squid"" OR ""longfin inshore squid""","Doryteuthis pealeii (Longfin squid, Longfin inshore squid)"
Illex illecebrosus (Illex shortfin squid),illex illecebrosus,illex shortfin squid,"""illex illecebrosus"" OR ""illex shortfin squid""",Illex illecebrosus (Illex shortfin squid)
Spisula solidissima (Atlantic surfclam),spisula solidissima,atlantic surfclam,"""spisula solidissima"" OR ""atlantic surfclam""",Spisula solidissima (Atlantic surfclam)
Arctica islandica (Ocean quahog),arctica islandica,ocean quahog,"""arctica islandica"" OR ""ocean quahog""",Arctica islandica (Ocean quahog)
Pomatomus saltatrix (Bluefish),pomatomus saltatrix,bluefish,"""pomatomus saltatrix"" OR ""bluefish""",Pomatomus saltatrix (Bluefish)
"Lopholatilus chamaeleonticeps (Tilefish, Great northern tilefish, Golden tilefish)",lopholatilus chamaeleonticeps,"tilefish, great northern tilefish, golden tilefish","""lopholatilus chamaeleonticeps"" OR ""tilefish"" OR ""great northern tilefish"" OR ""golden tilefish""","Lopholatilus chamaeleonticeps (Tilefish, Great northern tilefish, Golden tilefish)"
"Caulolatilus microps (Blueline tilefish, Grey tilefish)",caulolatilus microps,"blueline tilefish, grey tilefish","""caulolatilus microps"" OR ""blueline tilefish"" OR ""grey tilefish""","Caulolatilus microps (Blueline tilefish, Grey tilefish)"
Anguilla rostrata (American eel),anguilla rostrata,american eel,"""anguilla rostrata"" OR ""american eel""",Anguilla rostrata (American eel)
Homarus americanus (American lobster),homarus americanus,american lobster,"""homarus americanus"" OR ""american lobster""",Homarus americanus (American lobster)
Micropoginias undulatus (Atlantic croaker),micropoginias undulatus,atlantic croaker,"""micropoginias undulatus"" OR ""atlantic croaker""",Micropoginias undulatus (Atlantic croaker)
Brevoortia tyrannus (Atlantic menhaden),brevoortia tyrannus,atlantic menhaden,"""brevoortia tyrannus"" OR ""atlantic menhaden""",Brevoortia tyrannus (Atlantic menhaden)
Morone saxatilis (Striped Bass),morone saxatilis,striped bass,"""morone saxatilis"" OR ""striped bass""",Morone saxatilis (Striped Bass)
Pandalus borealis (Northern shrimp),pandalus borealis,northern shrimp,"""pandalus borealis"" OR ""northern shrimp""",Pandalus borealis (Northern shrimp)
Sciaenops ocellatus (Red drum),sciaenops ocellatus,red drum,"""sciaenops ocellatus"" OR ""red drum""",Sciaenops ocellatus (Red drum)
Alosa sapidissima (American shad),alosa sapidissima,american shad,"""alosa sapidissima"" OR ""american shad""",Alosa sapidissima (American shad)
Alosa pseudoharengus (Alewife),alosa pseudoharengus,alewife,"""alosa pseudoharengus"" OR ""alewife""",Alosa pseudoharengus (Alewife)
"Alosa aestivalus (Blueback herring, Blueback shad)",alosa aestivalus,"blueback herring, blueback shad","""alosa aestivalus"" OR ""blueback herring"" OR ""blueback shad""","Alosa aestivalus (Blueback herring, Blueback shad)"
"Scomberomorus maculatus (Spanish mackerel, Atlantic spanish mackerel)",scomberomorus maculatus,"spanish mackerel, atlantic spanish mackerel","""scomberomorus maculatus"" OR ""spanish mackerel"" OR ""atlantic spanish mackerel""","Scomberomorus maculatus (Spanish mackerel, Atlantic spanish mackerel)"
"Leiostomus xanthurus (Spot, Spot croaker)",leiostomus xanthurus,"spot, spot croaker","""leiostomus xanthurus"" OR ""spot"" OR ""spot croaker""","Leiostomus xanthurus (Spot, Spot croaker)"
"Cynoscion nebulosus (Spotted seatrout, Spotted weakfish)",cynoscion nebulosus,"spotted seatrout, spotted weakfish","""cynoscion nebulosus"" OR ""spotted seatrout"" OR ""spotted weakfish""","Cynoscion nebulosus (Spotted seatrout, Spotted weakfish)"
Tautoga onitis (Tautog),tautoga onitis,tautog,"""tautoga onitis"" OR ""tautog""",Tautoga onitis (Tautog)
Cynoscion regalis (Weakfish),cynoscion regalis,weakfish,"""cynoscion regalis"" OR ""weakfish""",Cynoscion regalis (Weakfish)
,,,,
,,,,
NOTES,"consider dropping ""spot"" for ""leiostomus xanthurus"" as it's pulling noise",,,
