"Code","SEASON","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"ANC","FALL",8.54,28.12,11.1,28.74,"22.1","36.21","20.356","36.111"
"ANC","SPRING",3.5,22.5,3.4,21.83,"23.52","36.487","20.286","36.493"
"ANC","SUMMER",8.6,29.4,16.2,29.9,"NA","NA","NA","NA"
"ANC","WINTER",2,10.97,1.9,5.73,"31.711","33.625","29.57","33.105"
"BC","FALL",4.47,29.85,7.4,29.54,"31.577","36.5","30.769","36.391"
"BC","SPRING",2.13,21.31,1.64,23.06,"31.045","36.454","24.249","36.374"
"BC","SUMMER",5.1,21.9,15.96,27.1,"31.945","33.881","31.559","32.062"
"BC","WINTER",4.5,19.64,3.84,19.75,"32.374","36.365","32.179","36.466"
"BFF","FALL",7.2,28.04,9.79,28.77,"31.516","36.493","30.569","36.233"
"BFF","SPRING",4.1,19.44,3.8,24.95,"32.723","36.402","31.798","36.466"
"BFF","SUMMER",7.3,7.3,25,25,"NA","NA","NA","NA"
"BFF","WINTER",11.33,11.33,15.07,15.07,"35.416","35.416","35.446","35.446"
"BG","FALL",11.9,12.1,13.2,13.5,"NA","NA","NA","NA"
"BG","SUMMER",6.2,24.7,9.2,28.1,"NA","NA","NA","NA"
"BIL","FALL",9.28,12.55,17.9,27.33,"32.079","35.512","31.764","36.073"
"BLF","FALL",6.3,27.8,9.7,28,"22.1","36.206","20.356","36.111"
"BLF","SPRING",7.67,22.5,6.11,23.69,"32.019","36.389","30.073","36.574"
"BLF","SUMMER",7.7,29.4,12.5,29.9,"NA","NA","NA","NA"
"BLF","WINTER",8.36,17.64,5.58,18.4,"32.803","36.312","31.921","36.354"
"BMS","FALL",4.47,29.85,8.1,29.57,"27.223","36.516","20.356","36.391"
"BMS","SPRING",1.23,22,1.26,24.64,"24.655","36.429","15.925","36.613"
"BMS","SUMMER",4.23,28.1,9.2,29,"32.602","34.804","30.895","32.083"
"BMS","WINTER",0.9,19.64,0.88,20.72,"30.907","36.365","29.102","36.478"
"BPF","FALL",4.8,28.2,6.2,29.76,"27.223","36.512","23.646","36.239"
"BPF","SPRING",1.23,22.67,0.6,23.64,"24.138","36.554","20.286","36.574"
"BPF","SUMMER",4.5,28.1,9.5,29,"33.994","34.818","31.663","32.495"
"BPF","WINTER",1.1,14.84,0.88,19.47,"31.325","35.799","29.102","36.478"
"BSB","FALL",6.28,29.85,8.4,28.74,"27.962","36.401","25.432","36.248"
"BSB","SPRING",3.25,21.85,3.44,23.69,"27.345","36.404","23.547","36.376"
"BSB","SUMMER",5.6,29.4,17.7,29.9,"NA","NA","NA","NA"
"BSB","WINTER",2.99,19.64,2.76,20.27,"30.907","36.365","29.858","36.414"
"BUT","FALL",4.3,29.85,6.8,29.76,"22.1","36.5","20.356","36.391"
"BUT","SPRING",3.8,22.67,0.6,24.95,"26.032","36.846","23.547","36.613"
"BUT","SUMMER",2.5,28.1,9.2,29,"31.119","34.403","30.902","32.656"
"BUT","WINTER",3,19.64,2,20.72,"30.907","36.361","29.102","36.466"
"CLA","FALL",11.68,24.24,11.54,26.77,"30.189","34.754","29.387","33.874"
"CLA","SPRING",3.9,11.46,4.46,11.37,"31.608","34.62","30.637","34.624"
"CLA","SUMMER",9.8,19.2,12.8,19.5,"NA","NA","NA","NA"
"CLA","WINTER",4.06,9.47,3.3,9.13,"31.909","34.1","31.912","33.927"
"COD","FALL",2.2,19.2,5.2,23.52,"30.979","35.345","28.944","33.946"
"COD","SPRING",1.3,12.8,0.4,15.2,"26.547","35.535","24.249","34.957"
"COD","SUMMER",1.5,15.9,2,26.7,"31.513","35.085","30.057","32.692"
"COD","WINTER",-1,12.56,-0.6,9.24,"31.613","35.402","31.052","33.816"
"DOG","FALL",3.6,22.91,5.2,28.58,"29.321","35.87","20.615","36.187"
"DOG","SPRING",1.7,16.9,0.6,20.15,"23.52","35.903","20.286","36.42"
"DOG","SUMMER",3,17,4.7,26.7,"31.119","34.818","30.057","32.656"
"DOG","WINTER",1.1,16.62,1,19.47,"30.907","36.255","29.237","36.478"
"DRM","FALL",8.2,28.51,10.4,28.91,"22.1","36.455","20.356","36.244"
"DRM","SPRING",4.54,22.5,4.34,24.91,"24.655","36.62","23.231","36.613"
"DRM","SUMMER",7.6,29.4,15.8,29.9,"NA","NA","NA","NA"
"DRM","WINTER",2.8,19.64,1.5,19.75,"31.165","36.361","29.102","36.355"
"DSH","FALL",7.35,29.85,9.5,29.57,"22.1","36.5","22.1","36.343"
"DSH","SPRING",4,22.67,4.04,24.91,"32.852","36.741","26.189","36.624"
"DSH","SUMMER",9.8,29.4,15.8,29.9,"NA","NA","NA","NA"
"DSH","WINTER",6.5,18.26,3.48,19.43,"32.623","36.365","31.346","36.466"
"FDE","FALL",2.3,26.78,6.3,27.25,"28.676","36.168","26.759","35.889"
"FDE","SPRING",1,17.2,0.9,19.2,"23.267","35.835","15.925","36.111"
"FDE","SUMMER",3,26.3,7.9,25.4,"31.513","34.717","30.057","32.362"
"FDE","WINTER",1.3,14.94,1.1,12.08,"30.907","35.771","29.102","35.231"
"FDF","FALL",2.2,29.85,6.2,29.76,"22.1","36.516","20.356","36.395"
"FDF","SPRING",1,22.67,0.4,24.95,"23.267","36.875","15.925","36.624"
"FDF","SUMMER",1.1,29.4,2.2,29.9,"31.119","35.085","30.057","32.692"
"FDF","WINTER",-1.4,19.64,-1.4,20.72,"30.907","36.365","29.102","36.478"
"FLA","FALL",5.04,28.51,6.4,29.76,"27.223","36.482","25.576","36.369"
"FLA","SPRING",2.63,21.3,1.6,24.64,"24.655","36.846","23.231","36.613"
"FLA","SUMMER",1.1,23.2,2.2,27.4,"NA","NA","NA","NA"
"FLA","WINTER",1.44,19.64,1.41,20.72,"31.165","36.361","30.239","36.414"
"FOU","FALL",4.72,26.75,6.9,29.76,"28.676","36.164","25.432","36.369"
"FOU","SPRING",2.16,19.29,1.46,24.64,"26.547","36.44","23.547","36.613"
"FOU","SUMMER",2.5,17.9,10.6,27.4,"31.501","32.774","30.645","32.053"
"FOU","WINTER",0.9,19.64,1,20.72,"31.61","36.365","29.796","36.478"
"GOO","FALL",2.8,23.63,6.3,29.21,"29.84","36.215","28.53","36.22"
"GOO","SPRING",1,20,1.64,23.53,"29.705","35.903","24.249","36.43"
"GOO","SUMMER",3.35,15.8,4.7,26.9,"31.551","35.053","30.105","32.692"
"GOO","WINTER",0.9,17.76,0.8,20.27,"30.907","36.342","29.102","36.478"
"HAD","FALL",2.6,18.96,5.2,27.03,"30.979","35.742","28.914","35.891"
"HAD","SPRING",1.6,13.64,0.4,15.75,"30.613","35.673","24.249","35.82"
"HAD","SUMMER",1.1,15.8,2,26.4,"31.551","35.085","30.433","32.569"
"HAD","WINTER",1.4,12.81,0.8,12.6,"31.896","35.402","31.48","35.273"
"HAL","FALL",2.6,13.9,7.3,17.75,"31.056","34.96","30.773","33.873"
"HAL","SPRING",2,12.3,1.21,11.68,"31.691","34.947","27.148","33.266"
"HAL","SUMMER",4,10.5,8.4,20.82,"32.403","32.403","31.612","31.612"
"HAL","WINTER",1.8,7.91,1,5.55,"32.376","33.603","31.815","32.232"
"HER","FALL",3.5,26.6,6.3,27,"30.928","35.557","28.914","34.909"
"HER","SPRING",1.23,20.63,0.7,21.7,"23.267","36.418","15.925","36.38"
"HER","SUMMER",3,21.8,8.4,24,"31.119","35.062","30.057","32.692"
"HER","WINTER",1.3,13.73,0.8,10.63,"30.907","35.387","29.102","35.003"
"ISQ","FALL",2.3,29.85,6,29.76,"27.643","36.512","26.556","36.395"
"ISQ","SPRING",2.9,21.3,0.6,24.64,"32.153","36.489","23.547","36.624"
"ISQ","SUMMER",1.1,21,2,28,"31.501","35.062","30.057","32.692"
"ISQ","WINTER",3.78,17.64,2,20.72,"31.916","36.312","31.535","36.478"
"LOB","FALL",3.5,24.3,6.4,27.16,"29.84","36.107","20.615","36.187"
"LOB","SPRING",1.35,18.2,0.6,18.6,"26.547","35.707","15.925","36.116"
"LOB","SUMMER",1.1,20.51,2.2,27.4,"30.904","35.085","30.057","32.577"
"LOB","WINTER",1.7,14.79,1,19.4,"31.076","35.862","29.102","36.466"
"LSK","FALL",2.6,23.45,6,28.36,"28.615","35.995","25.432","36.187"
"LSK","SPRING",1.4,16.27,0.6,20.15,"23.52","35.772","15.925","36.363"
"LSK","SUMMER",3.8,21,9.3,27,"30.904","31.943","30.645","31.561"
"LSK","WINTER",-1.4,15.08,-1.4,15.76,"30.907","35.854","29.102","35.977"
"LSQ","FALL",4.63,29.85,7.1,29.76,"22.1","36.527","20.615","36.395"
"LSQ","SPRING",2.41,22.67,0.6,24.95,"26.745","36.875","23.547","36.624"
"LSQ","SUMMER",5.1,27.3,12,28.3,"30.904","33.994","30.87","32.021"
"LSQ","WINTER",2.76,19.64,2,20.72,"30.907","36.365","29.57","36.478"
"MAK","FALL",3.5,22.53,7.3,24.99,"30.406","35.932","28.914","35.517"
"MAK","SPRING",2.48,17.2,1,21.4,"26.032","35.838","24.729","36.111"
"MAK","SUMMER",4.22,20,10.6,27.4,"31.736","33.354","30.661","31.705"
"MAK","WINTER",3.2,15.77,2,11.04,"31.165","35.753","29.102","35.036"
"MEN","FALL",4.93,26.2,8.2,26.42,"27.962","34.23","25.432","33.023"
"MEN","SPRING",3.5,18.7,3.58,17.6,"23.52","35.344","21.177","35.325"
"MEN","SUMMER",14.3,21,18.9,21.5,"NA","NA","NA","NA"
"MEN","WINTER",3.78,7.87,2.38,7,"32.039","34.185","29.912","33.506"
"MPF","FALL",4.8,27.55,7.8,29.76,"31.697","36.383","29.884","36.391"
"MPF","SPRING",2.6,21.56,1.9,24.95,"32.044","36.489","25.318","36.624"
"MPF","SUMMER",4.62,11.8,10.26,26.1,"31.91","34.818","30.057","32.495"
"MPF","WINTER",6.5,17.21,3.96,20.27,"33.467","36.215","32.335","36.409"
"NSH","FALL",4.47,18.6,7.8,26.3,"31.056","35.853","29.232","35.843"
"NSH","SPRING",1.35,13.23,1.2,19.72,"30.895","35.623","24.249","36.17"
"NSH","SUMMER",3.35,8.76,9.32,22.04,"31.594","35.062","30.057","32.367"
"OHK","FALL",3.5,15.59,6.6,29.76,"32.234","36.028","29.884","36.391"
"OHK","SPRING",3.2,17.64,2.2,24.32,"33.102","36.344","32.029","36.624"
"OHK","SUMMER",1.1,12.1,2.2,25.2,"NA","NA","NA","NA"
"OHK","WINTER",6.1,14.79,2.1,19.47,"32.566","35.862","31.996","36.478"
"OPT","FALL",3.5,19.12,6.3,27.03,"31.056","35.688","29.232","36.187"
"OPT","SPRING",1.27,13.64,0.9,16.8,"26.547","35.772","15.925","35.968"
"OPT","SUMMER",2.5,16.4,7.5,26.9,"31.513","34.741","30.057","32.577"
"OPT","WINTER",0.1,14.01,0.4,11.1,"31.195","35.753","29.102","35.276"
"OSH","FALL",5.9,28.12,18,29.54,"27.223","36.5","25.432","36.288"
"OSH","SPRING",3.64,21,3.52,23.47,"29.06","36.62","28.854","36.592"
"OSH","SUMMER",19.9,27.7,25.7,29,"NA","NA","NA","NA"
"OSH","WINTER",3.3,14.84,3.29,18.41,"32.953","35.766","31.505","36.364"
"PLA","FALL",2.2,16.9,6.1,23.6,"31.208","35.588","29.232","35.691"
"PLA","SPRING",1,12.8,0.4,15.5,"26.547","35.258","24.249","33.575"
"PLA","SUMMER",1.5,14.7,2,25.2,"31.119","34.804","30.057","32.692"
"PLA","WINTER",1.4,12.73,0.8,7.27,"32.033","35.493","31.525","33.263"
"POL","FALL",2.6,18.56,6.1,24.3,"30.979","35.63","29.232","34.013"
"POL","SPRING",1.3,13.2,0.6,14.79,"30.577","35.497","27.021","34.344"
"POL","SUMMER",3,16.1,7.9,22.2,"31.551","34.717","30.057","32.692"
"POL","WINTER",1.4,12.14,1,12.07,"32.414","35.512","31.598","35.445"
"POR","FALL",11.34,11.34,12.59,12.59,"34.476","34.476","32.746","32.746"
"PSH","FALL",8.91,27.51,16.6,29.13,"30.925","36.023","29.6","36.149"
"PSH","SPRING",10.1,20.88,8.1,23.03,"35.351","36.554","32.376","36.556"
"PSH","SUMMER",11.2,27.3,21.6,28.2,"NA","NA","NA","NA"
"QHG","FALL",7.48,17.51,11.25,19.22,"32.453","33.426","31.746","33.053"
"QHG","SPRING",4.91,9.53,5.51,9.47,"32.618","34.52","32.236","33.52"
"QHG","WINTER",5.72,9.47,5.83,9.13,"33.234","34.1","33.183","33.927"
"RCB","FALL",4.55,14.8,8.6,26.67,"32.659","35.672","30.985","35.789"
"RCB","SPRING",3,13.6,3.18,21.2,"32.554","35.587","30.185","35.573"
"RCB","SUMMER",3.67,7.3,12.4,21.73,"32.286","33.838","30.57","31.981"
"RCB","WINTER",6.45,13.82,5.95,13.09,"32.741","35.59","32.553","35.078"
"RED","FALL",2.2,18.53,6.1,26.1,"31.34","35.754","29.232","35.318"
"RED","SPRING",1,12.8,0.4,16.69,"31.251","35.583","25.318","35.968"
"RED","SUMMER",1.7,11.7,2,23.1,"31.943","35.085","30.105","32.692"
"RED","WINTER",1.4,14,0.8,8.26,"34.112","35.638","32.427","33.339"
"REP","FALL",8.67,26.5,17.79,28.19,"27.962","35.908","25.596","35.21"
"REP","SPRING",10.29,20,9.44,19.7,"32.721","36.341","29.37","36.354"
"REP","SUMMER",27.3,27.3,27.3,27.3,"NA","NA","NA","NA"
"REP","WINTER",12.08,16.25,12.45,12.97,"35.698","35.923","34.098","35.624"
"RHK","FALL",3.5,22.49,6.4,27.03,"29.961","36.012","25.432","36.187"
"RHK","SPRING",1.71,16.7,1.4,20.15,"25.809","35.785","15.925","36.363"
"RHK","SUMMER",2.5,20.6,2,27.4,"31.501","34.804","30.057","32.692"
"RHK","WINTER",1.36,19.64,0.88,19.75,"31.076","36.361","29.102","36.407"
"SAL","FALL",8.7,8.7,8.4,8.4,"NA","NA","NA","NA"
"SCA","FALL",4.3,22.59,6.9,28.58,"30.979","36.053","28.914","35.891"
"SCA","SPRING",2.13,16.27,1.41,17.95,"29.986","35.804","24.754","36.355"
"SCA","SUMMER",2.5,20.51,4.7,27.4,"30.904","34.779","30.57","32.656"
"SCA","WINTER",1.44,17.64,1.41,17.93,"31.398","36.312","29.102","36.049"
"SCU","FALL",7.1,28.51,8,29.31,"22.1","36.5","22.1","36.239"
"SCU","SPRING",3.35,22.67,1,24.95,"30.883","36.741","23.547","36.578"
"SCU","SUMMER",7.5,25.7,13.5,27.8,"NA","NA","NA","NA"
"SCU","WINTER",4.15,19.64,3.42,20.72,"30.907","36.365","29.858","36.401"
"SDF","FALL",12.26,19.6,12.1,23.34,"34.999","35.505","34.104","34.708"
"SDF","SPRING",5.33,20.1,5.7,11,"26.995","34.78","25.031","33.124"
"SDF","WINTER",6.19,13.75,5.35,8.3,"33.044","35.726","32.7","33.642"
"SHK","FALL",2.3,24.46,6.1,29.76,"29.321","36.383","25.432","36.238"
"SHK","SPRING",1.8,18.2,0.6,23.53,"23.52","36.344","15.925","36.606"
"SHK","SUMMER",2.5,21,2,27.6,"31.501","35.085","30.057","32.692"
"SHK","WINTER",1.74,15.9,1.2,19.47,"30.907","36.043","29.102","36.478"
"SK","FALL",2.3,29.85,6.1,29.76,"22.1","36.524","20.356","36.369"
"SK","SPRING",1.3,22.5,0.7,24.95,"24.655","36.875","23.231","36.624"
"SK","SUMMER",1.1,27.6,2.2,28.6,"31.745","35.085","30.105","32.692"
"SK","WINTER",1.4,19.64,0.8,20.72,"30.907","36.365","29.237","36.478"
"SMO","FALL",6.6,26.7,9,29.02,"27.962","36.383","20.356","36.238"
"SMO","SPRING",5.32,20.73,5.16,23.84,"26.938","36.489","23.547","36.592"
"SMO","SUMMER",6.2,27.7,13,28.2,"30.904","30.904","30.87","30.87"
"SMO","WINTER",7.5,17.76,3.48,20.27,"32.968","36.342","31.346","36.478"
"SSH","FALL",8.1,25.67,14.8,25.67,"22.1","34.632","22.1","34.555"
"SSH","SPRING",12.3,20.88,8.01,23.13,"33.278","36.418","29.92","36.578"
"SSH","SUMMER",9.1,22.3,20.3,28,"NA","NA","NA","NA"
"SSH","WINTER",17.64,19.64,17.93,19.75,"36.312","36.361","36.049","36.355"
"STB","FALL",7.49,20.97,7.8,22.54,"28.823","35.244","26.917","33.892"
"STB","SPRING",1.96,13.3,1.88,16.2,"23.267","34.644","18.355","34.42"
"STB","SUMMER",7.3,7.3,19.5,19.5,"NA","NA","NA","NA"
"STB","WINTER",2.76,9.07,2.98,9.06,"31.44","33.908","30.063","33.903"
"SUF","FALL",7.59,28.2,8.8,29.11,"22.1","36.426","20.356","36.359"
"SUF","SPRING",1.8,22,1,22.7,"23.267","36.741","21.768","36.556"
"SUF","SUMMER",5.3,29.4,13.2,29.9,"NA","NA","NA","NA"
"SUF","WINTER",1.74,19.64,1.49,19.75,"30.907","36.365","29.237","36.466"
"TAU","FALL",8.4,23.5,8.4,24,"28.932","33.277","25.75","32.701"
"TAU","SPRING",2.03,16.4,1.93,19,"27.732","34.355","24.94","34.225"
"TAU","SUMMER",12,27.7,17,28.4,"NA","NA","NA","NA"
"TAU","WINTER",1.7,8.91,1,7.99,"31.911","33.818","31.052","33.484"
"TUN","FALL",18.63,22.92,18.92,22.92,"31.072","31.85","31.071","31.551"
"TUN","SPRING",6.9,6.9,6.93,6.93,"34.201","34.201","34.203","34.203"
"TYL","FALL",5.9,19.66,10.1,28.8,"31.032","36.359","31.017","36.255"
"TYL","SPRING",4,14.8,3.9,20.3,"33.17","35.838","32.471","36.43"
"TYL","SUMMER",7.9,10.8,14.9,19.4,"NA","NA","NA","NA"
"TYL","WINTER",3.25,15.8,2,19.03,"33.059","36.023","32.315","36.404"
"WHK","FALL",3.5,19.55,6.1,29.13,"31.056","35.672","29.232","36.187"
"WHK","SPRING",2,16.7,0.6,23.4,"29.029","35.835","24.249","36.355"
"WHK","SUMMER",3.1,25.3,7.9,27.9,"31.501","35.085","30.057","32.692"
"WHK","WINTER",1.6,14.01,1,19.43,"31.916","35.743","29.102","36.389"
"WIF","FALL",4.95,23.12,6.3,25.77,"29.84","35.419","20.615","35.679"
"WIF","SPRING",1.23,16,0.9,17.3,"26.547","35.459","15.925","33.888"
"WIF","SUMMER",2.5,21,8.2,27,"30.904","32.774","30.057","32.053"
"WIF","WINTER",-1.4,11.25,-1.4,8.51,"31.076","34.836","29.102","34.121"
"WOL","FALL",2.9,14.8,6.7,18.5,"31.935","35.051","30.345","33.395"
"WOL","SPRING",1.3,11.23,0.5,13.28,"31.294","35.048","29.283","33.877"
"WOL","SUMMER",1.7,10.1,7.9,21.4,"32.191","34.692","30.105","32.33"
"WOL","WINTER",1.8,7.91,0.8,5.1,"32.112","33.603","31.815","32.08"
"WPF","FALL",5.34,27.7,6.3,28.7,"27.223","36.106","20.356","34.822"
"WPF","SPRING",1.4,19.7,1.4,20.6,"23.267","36.341","15.925","36.354"
"WPF","SUMMER",5.1,27.4,9.9,28.2,"30.904","31.594","30.87","31.561"
"WPF","WINTER",-1.2,13.35,-0.9,10.03,"31.076","35.518","29.102","35.098"
"WSK","FALL",3.5,21.88,6.3,25.2,"30.102","35.764","20.615","36.187"
"WSK","SPRING",1.27,18.91,0.7,19.16,"24.138","36.431","15.925","36.43"
"WSK","SUMMER",2,17,4,22.9,"31.501","31.501","30.95","31.561"
"WSK","WINTER",-1.4,13.73,-1.4,12.6,"31.076","35.518","29.102","35.273"
"WTF","FALL",2.3,18.53,6.1,26.73,"31.609","35.894","30.238","35.925"
"WTF","SPRING",1,15.3,1.3,21.2,"30.691","35.772","24.249","36.405"
"WTF","SUMMER",1.1,16.4,2,24.8,"31.91","34.804","30.057","32.692"
"WTF","WINTER",1.4,14.46,1,19.47,"31.61","35.854","30.602","36.478"
"YTF","FALL",2.6,19.39,6.3,25.77,"31.045","35.786","28.914","35.764"
"YTF","SPRING",1,14.15,0.5,16.8,"26.547","35.645","15.925","35.157"
"YTF","SUMMER",2.5,16.2,4,27,"31.551","32.403","30.433","31.612"
"YTF","WINTER",-1,13.35,-0.6,11.01,"31.325","35.438","29.102","34.823"
