"","Title","Scientific.Name","Age.Group","Location","Temp_Obs_Min","Temp_Obs_Mean","Temp_Obs_Max","Temp_Stress_Min","Temp_Stress_Max","Temp_Lethal_Min","Temp_Lethal_Mean","Temp_Lethal_Max","Salinity_Obs_Min","Salinity_Obs_Mean","Salinity_Obs_Max","Salinity_Stress_Min","Salinity_Stress_Max","Salinity_Lethal_Min","Salinity_Lethal_Max","temp_threshold","sal_threshold"
"1","Combined tracers reveal the multi-dimensionality of resource partitioning among sympatric forage fish","Alosa pseudoharengus","Adult","Northeast US",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2","Thermal Tolerance of the Alewife","Alosa pseudoharengus","Adult","Northeast US",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"3","Spawning, Larviculture, and Salinity Tolerance of Alewives and Blueback Herring in Captivity","Alosa pseudoharengus","Juvenile","Northeast US",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4","Lethal and Preferred Temperatures of the Alewife (Alosa pseudoharengus) in Lake Michigan","Alosa pseudoharengus","Adult","Other",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"5","Influence of dietary nutrients on low temperature tolerance of freshwater alewives","Alosa pseudoharengus","Adult","Other",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"6","Lethal and Preferred Temperatures of the Alewife (Alosa pseudoharengus) in Lake Michigan","Alosa pseudoharengus","Juvenile","Other",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7","Effects of Temperature on Electrolyte Balance and Osmoregulation in the Alewife (Alosa pseudoharengus) in Fresh and Sea Water","Alosa pseudoharengus","Juvenile","Other",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
"8","The effects of elevated salinity on river herring embryo and larval survival","Alosa pseudoharengus","Egg","Northeast US",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"9","The effects of elevated salinity on river herring embryo and larval survival","Alosa pseudoharengus","Larval","Northeast US",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"10","Tidal Influence on Movements and on Daily Cycle of Activity of American Eels","Anguilla rostrata","Adult","Canada",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"11","Impact of an acute temperature change on performance and metabolism of pickerel (Esox niger) and Eel (Anguilla rostrata) hearts","Anguilla rostrata","Adult","Canada",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"12","Oxygen isotope fractionation of otoliths formed across the maximum thermal range for somatic growth of the American eel 

<i>Anguilla rostrata</i>","Anguilla rostrata","Juvenile","Canada",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"13","Impact of ocean warming on sustainable fisheries management informs the Ecosystem Approach to Fisheries","Anguilla rostrata","Adult","Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14","Temperature behavioral responses of the American eel, Anguilla rostrata (Lesueur), from Maryland","Anguilla rostrata","Adult","Northeast US",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"15","Tolerance of Anguilla rostrata from Central America to Several Ecological Factors","Anguilla rostrata","Adult","Central America",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"16","Effects of Temperature, Salinity and Oxygen on the Survival of the American Lobster","Homarus americanus","Adult","Canada",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1
"17","Threshold temperatures for performance and survival of American lobster larvae: A review of current knowledge and implications to modeling impacts of climate change","Homarus americanus","Larval","Canada",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"18","Threshold temperatures for performance and survival of American lobster larvae: A review of current knowledge and implications to modeling impacts of climate change","Homarus americanus","Larval","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Effects of temperature and habitat biogeochemicals on disease susceptibility and survival of lobsters (Homarus americanus) in western Long Island Sound","Homarus americanus","Adult","Northeast US",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"20","A comparison of the osmoregulatory capabilities of estuarine and coastal populations of the American lobster, Homarus americanus.","Homarus americanus","Adult","Northeast US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Enhancing thermal tolerance by eliminating the pejus range: a comparative study with three decapod crustaceans","Homarus americanus","Adult","Northeast US",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
"22","Implications of Future Northwest Atlantic Bottom Temperatures on the American Lobster (Homarus americanus) Fishery","Homarus americanus","Adult","Northeast US",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"23","Implications of Future Northwest Atlantic Bottom Temperatures on the American Lobster (Homarus americanus) Fishery","Homarus americanus","Egg","Northeast US",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"24","Implications of Future Northwest Atlantic Bottom Temperatures on the American Lobster (Homarus americanus) Fishery","Homarus americanus","Juvenile","Northeast US",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"25","The impact of ocean warming on juvenile American lobster recruitment off southeastern Massachusetts","Homarus americanus","Juvenile","Northeast US",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"26","Effects of thermal pollution on pelagic larvae of crustacea","Homarus americanus","Larval","Northeast US",1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1
"27","A comparison of growth and temperature tolerance in the larvae of the lobsters Homarus gammarus (L.) and Homarus americanus H. milne Edwards (Decapoda, Nephropidae)","Homarus americanus","Larval","Northeast US",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"28","Factors Influencing the Size of American Lobster (Homarus americanus) Stocks Along the Atlantic Coast of Nova Scotia, Gulf of St. Lawrence, and Gulf of Maine: A New Synthesis","Homarus americanus","Larval","Northeast US",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"29","Ontogenetic shifts in thermal tolerance of the American lobster (Homarus americanus)","Homarus americanus","Larval","Northeast US",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"30","Top-down and bottom-up forces interact at thermal range extremes on American lobster","Homarus americanus","Adult","Canada",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"31","Low?Temperature Tolerance of American Plaice in Relation to Declines in Abundance","Hippoglossoides platessoides","Adult","Canada",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"32","Impact of ocean warming on sustainable fisheries management informs the Ecosystem Approach to Fisheries","Hippoglossoides platessoides","Adult","Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"33","Observations on the reactions of young American shad to heated effluent","Alosa sapidissima","Juvenile","Northeast US",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"34","Responses of Young American Shad, Alosa sapidissima, to Low Temperatures","Alosa sapidissima","Juvenile","Northeast US",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"35","Salinity tolerance of young American shad. Alosa sapidissima","Alosa sapidissima","Juvenile","Northeast US",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"36","Upper Thermal Tolerance and Heat Shock Protein Response of Juvenile American Shad ( 

<i>Alosa sapidissima</i>)","Alosa sapidissima","Juvenile","Northeast US",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
"37","The ontogeny of salinity tolerance in the American shad, Alosa sapidissima","Alosa sapidissima","Larval","Northeast US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"38","Thermal effects of power plant entrainment on survival of larval fishes: a laboratory assessment","Alosa sapidissima","Larval","Northeast US",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"39","High-temperature stress response: Insights into the molecular regulation of American shad 

<i> (Alosa</i> 

<i> sapidissima)</i> using a multi-omics approach","Alosa sapidissima","Adult","China",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"40","Survival, Growth, and Feed Utilization of Pre? and Postmetamorphic American Shad Exposed to Increasing Salinity","Alosa sapidissima","Egg","China",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
"41","Effects of different salinities on growth performance, survival, digestive enzyme activity, immune response, and muscle fatty acid composition in juvenile American shad (Alosa sapidissima)","Alosa sapidissima","Juvenile","China",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"42","Effects of Different Salinities on Growth, Body Composition, Oxygen Consumption Rate, and Ammonia Excretion Rate in American shad (Alosa sapidissima) Juveniles","Alosa sapidissima","Juvenile","China",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"43","Thermal habitat for 0-group fish in the Barents Sea; how climate variability impacts their density, length, and geographic distribution","Gadus morhua","Juvenile","Europe",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"44","Atmosphereâ€“Ocean Coupling and Atlantic Cod Migrations: Effect of Wind-Forced Variations in Sea Temperatures and Currents or Nearshore Distributions and Catch Rates of Gadus morhua","Gadus morhua","Adult","Canada",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"45","Thermal biology and swimming performance of Atlantic cod (Gadus morhua) and haddock (Melanogrammus aeglefinus)","Gadus morhua","Adult","Canada",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"46","Associations between Atlantic cod (Gadus morhua) and hydrographic variables: Implications for the management of the 4VsW cod stock","Gadus morhua","Adult","Canada",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"47","Brain cooling marginally increases acute upper thermal tolerance in Atlantic cod","Gadus morhua","Adult","Canada",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"48","The acute and incremental thermal tolerance of Atlantic cod ( 

<i>Gadus morhua</i>) families under normoxia and mild hypoxia","Gadus morhua","Adult","Canada",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"49","Thermal sensitivity of metabolic rates and swimming performance in two latitudinally separated populations of cod, Gadus morhua L","Gadus morhua","Adult","Canada",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"50","Temperature and dietary effects on the physiology of two gadids, the Atlantic cod (Gadus morhua) and haddock (Melanogrammus aeglefinus)","Gadus morhua","Juvenile","Canada",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"51","Growth, survival and feed efficiency for post-metamorphosed Atlantic cod ( 

<i>Gadus morhua</i>) reared at different temperatures","Gadus morhua","Juvenile","Canada",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"52","Cardiovascular and haematological responses of Atlantic cod (Gadus morhua) to acute temperature increase","Gadus morhua","Adult","Canada",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"53","Effects of temperature on specific dynamic action in Atlantic cod 

<i>Gadus morhua</i>","Gadus morhua","Adult","Europe",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"54","Oxygen limitation of thermal tolerance in cod, 

<i>Gadus morhua</i> L., studied by magnetic resonance imaging and on-line venous oxygen monitoring","Gadus morhua","Adult","Europe",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"55","Identification of lifecycle bottlenecks to assess the vulnerability of fish species to climate change","Gadus morhua","Adult","Europe",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"56","Northern cod species face spawning habitat losses if global warming exceeds 1.5Â°C","Gadus morhua","Adult","Europe",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"57","Climate change with increasing seawater temperature will challenge the health of farmed Atlantic Cod (Gadus morhua L.)","Gadus morhua","Adult","Europe",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"58","Cod and climate in a latitudinal cline: physiological analyses of climate effects in marine fishes","Gadus morhua","Adult","Europe",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"59","Climate induced temperature effects on growth performance, fecundity and recruitment in marine fish: developing a hypothesis for cause and effect relationships in Atlantic cod (Gadus morhua) and common eelpout (Zoarces viviparus)","Gadus morhua","Adult","Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60","Identification of lifecycle bottlenecks to assess the vulnerability of fish species to climate change","Gadus morhua","Adult","Europe",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"61","Impact of ocean warming on sustainable fisheries management informs the Ecosystem Approach to Fisheries","Gadus morhua","Adult","Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"62","Effects of ocean acidification increase embryonic sensitivity to thermal extremes in Atlantic cod, Gadus morhua","Gadus morhua","Egg","Europe",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"63","Northern cod species face spawning habitat losses if global warming exceeds 1.5Â°C","Gadus morhua","Egg","Europe",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"64","Effect of temperature on viability and axial muscle development in embryos and yolk sac larvae of the Northeast Arctic cod (Gadus morhua)","Gadus morhua","Egg","Europe",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"65","Identification of lifecycle bottlenecks to assess the vulnerability of fish species to climate change","Gadus morhua","Egg","Europe",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"66","Cod and climate in a latitudinal cline: physiological analyses of climate effects in marine fishes","Gadus morhua","Juvenile","Europe",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"67","Seasonal movements and connectivity of an Atlantic cod (Gadus morhua) spawning component in the western Gulf of Maine","Gadus morhua","Adult","Northeast US",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"68","Effects of salinity on eggs and yolk-sac larvae of Atlantic cod, Atlantic halibut, haddock and winter flounder","Gadus morhua","Egg","Northeast US",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"69","Fathers modify thermal reaction norms for hatching success in Atlantic cod, 

<i>Gadus morhua</i>","Gadus morhua","Egg","Northeast US",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"70","Effects of salinity on eggs and yolk-sac larvae of Atlantic cod, Atlantic halibut, haddock and winter flounder","Gadus morhua","Larval","Northeast US",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"71","Ontogenetic Changes in Behavioral and Energetic Responses of Juvenile Atlantic Croaker to an Estuarine Salinity Gradient","Micropogonias undulatus","Adult","Northeast US",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"72","Low-temperature tolerance of age-0 Atlantic croakers : recruitment implications for U.S. mid-Atlantic estuaries","Micropogonias undulatus","Juvenile","Northeast US",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"73","Mechanistic links between climate and fisheries along the east coast of the United States: explaining population outbursts of Atlantic croaker (Micropogonias undulatus)","Micropogonias undulatus","Juvenile","Northeast US",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"74","Ontogenetic Changes in Behavioral and Energetic Responses of Juvenile Atlantic Croaker to an Estuarine Salinity Gradient","Micropogonias undulatus","Juvenile","Northeast US",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"75","Ontogenetic Changes in Behavioral and Energetic Responses of Juvenile Atlantic Croaker to an Estuarine Salinity Gradient","Micropogonias undulatus","Larval","Northeast US",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"76","Temperature?adaptive differences between the M4 lactate dehydrogenases of stenothermal and eurythermal sciaenid fishes","Micropogonias undulatus","Adult","Southeast US",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"77","SUBMERGED CAGE CULTURE OF FISH IN SUPERSATURATED THERMAL EFFLUENT","Micropoginias undulatus","Adult","Southeast US",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"78","Hatchery methods and natural, hormone-implant-induced, and synchronized spawning of captive Atlantic croaker ( 

<i>Micropogonias undulatus</i>) Linnaeus 1766","Micropogonias undulatus","Egg","Southeast US",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"79","Seasonal abundance of atlantic croaker (Micropogonias undulatus) in relation to bottom salinity and temperature in South Carolina estuaries","Micropogonias undulatus","Adult","Southeast US",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"80","Effects of salinity on eggs and yolk-sac larvae of Atlantic cod, Atlantic halibut, haddock and winter flounder","Hippoglossus hippoglossus","Egg","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"81","Low temperature tolerance of Atlantic halibut, Hippoglossus hippoglossus , at ambient ocean temperatures in Newfoundland","Hippoglossus hippoglossus","Juvenile","Canada",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"82","Effects of salinity on eggs and yolk-sac larvae of Atlantic cod, Atlantic halibut, haddock and winter flounder","Hippoglossus hippoglossus","Larval","Canada",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"83","Impact of ocean warming on sustainable fisheries management informs the Ecosystem Approach to Fisheries","Hippogloussus hippoglossus","Adult","Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"84","Effects of size on optimal temperature for growth and growth efficiency of immature Atlantic halibut (Hippoglossus hippoglossus L.)","Hippoglossus hippoglossus L.","Juvenile","Europe",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"85","Effects of size on optimal temperature for growth and growth efficiency of immature Atlantic halibut (Hippoglossus hippoglossus L.)","Hippoglossus hippoglossus L.","Juvenile","Europe",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"86","Aerobic scope fails to explain the detrimental effects on growth resulting from warming and elevated CO2 in Atlantic halibut","Hippogloussus hippoglossus","Juvenile","Europe",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"87","Optimal temperature of immature halibut (Hippoglossus hippoglossus L.): Effects of size","Hippoglossus hippoglossus","Juvenile","Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"88","Combined effects of temperature and salinity on development and survival of Atlantic halibut larvae","Hippoglossus hippoglossus","Larval","Europe",1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1
"89","Effects of size on optimal temperature for growth and growth efficiency of immature Atlantic halibut (Hippoglossus hippoglossus L.)","Hippoglossus hippoglossus L.","Larval","Europe",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"90","Effects of salinity on yolk sac larvae of Atlantic halibut (Hippoglossus hippoglossus L.)","Hippoglossus hippoglossus L.","Larval","Europe",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"91","Effects of temperature on yolk sac larvae of Atlantic halibut (Hippoglossus hippoglossus L.)","Hippoglossus hippoglossus L.","Larval","Europe",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"92","Impact of ocean warming on sustainable fisheries management informs the Ecosystem Approach to Fisheries","Clupea harengus","Adult","Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"93","Thermal windows supporting survival of the earliest life stages of Baltic herring (Clupea harengus)","Clupea harengus","Egg","Europe",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"94","Temperature, salinity tolerance, and buoyancy during early development and starvation of Clyde and North Sea herring, cod, and flounder larvae","Chpea harengus L.","Larval","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Effects of warming rate, acclimation temperature and ontogeny on the critical thermal maximum of temperate marine fish larvae","Clupea harengus","Larval","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Effects of warming rate, acclimation temperature and ontogeny on the critical thermal maximum of temperate marine fish larvae","Clupea harengus","Larval","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Linking individual physiological indicators to the productivity of fish populations: A case study of Atlantic herring","Clupea harengus","Larval","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Fishing from space : mackerel fishing in Icelandic waters and correlation with satellite variables","Scomber scombrus","Adult","Europe",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"99","Geographical expansion of Northeast Atlantic mackerel (Scomber scombrus) in the Nordic Seas from 2007 to 2016 was primarily driven by stock size and constrained by low temperatures","Scomber scombrus","Adult","Europe",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"100","Poleward spawning of Atlantic mackerel (Scomber scombrus) is facilitated by ocean warming but triggered by energetic constraints","Scomber scombrus","Adult","Europe",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"101","Impact of ocean warming on sustainable fisheries management informs the Ecosystem Approach to Fisheries","Scomber scombrus","Adult","Europe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"102","Poleward spawning of Atlantic mackerel (Scomber scombrus) is facilitated by ocean warming but triggered by energetic constraints","Scomber scombrus","Egg","Europe",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"103","Thermal effects on growth and time to starvation during the yolk-sac larval period of Atlantic mackerel 

<i>Scomber scombrus</i> L","Scomber scombrus","Larval","Europe",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
