"","Scientific.Name","Age.Group","Temp_Obs_Min","Temp_Obs_Mean","Temp_Obs_Max","Temp_Stress_Min","Temp_Stress_Max","Temp_Lethal_Min","Temp_Lethal_Mean","Temp_Lethal_Max","temp_threshold","Salinity_Obs_Min","Salinity_Obs_Mean","Salinity_Obs_Max","Salinity_Stress_Min","Salinity_Stress_Max","Salinity_Lethal_Min","Salinity_Lethal_Max","sal_threshold"
"1","Alosa aestivalis","Egg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"2","Alosa aestivalis","Juvenile",1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
"3","Alosa aestivalis","Larval",0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1
"4","Alosa pseudoharengus","Adult",2,0,2,1,0,3,0,2,4,0,0,0,0,0,0,0,0
"5","Alosa pseudoharengus","Egg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"6","Alosa pseudoharengus","Juvenile",2,0,2,1,0,1,0,1,3,0,0,0,0,0,0,0,0
"7","Alosa pseudoharengus","Larval",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"8","Alosa sapidissima","Adult",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"9","Alosa sapidissima","Egg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
"10","Alosa sapidissima","Juvenile",0,0,0,2,0,2,1,2,3,1,0,1,2,2,0,0,3
"11","Alosa sapidissima","Larval",0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"12","Amblyraja radiata","Adult",1,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"13","Anarhichas lupus","Adult",1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
"14","Anarhichas lupus","Egg",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"15","Anarhichas lupus","Juvenile",1,1,1,1,1,0,0,0,2,2,0,2,0,0,0,1,2
"16","Anarhichas lupus","Larval",2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"17","Anguilla rostrata","Adult",2,3,1,1,0,1,0,1,5,1,0,0,0,0,0,0,1
"18","Anguilla rostrata","Juvenile",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"19","Arctica islandica","Larval",2,1,1,1,1,0,0,0,2,2,0,1,0,0,0,0,2
"20","Brevoortia tyrannus","Egg",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21","Brevoortia tyrannus","Juvenile",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"22","Brevoortia tyrannus","Larval",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
"23","Centropristis striata","Adult",2,1,3,0,0,0,0,0,3,1,1,1,0,0,0,0,1
"24","Centropristis striata","Egg",1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
"25","Centropristis striata","Juvenile",2,2,2,1,1,3,0,4,6,3,2,3,1,1,1,0,4
"26","Centropristis striata","Larval",2,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,3
"27","Chpea harengus L.","Larval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Clupea harengus","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"29","Clupea harengus","Egg",1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"30","Clupea harengus","Juvenile",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"31","Clupea harengus","Larval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Cynoscion nebulosas","Juvenile",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"33","Cynoscion nebulosus","Adult",2,0,1,1,0,2,0,1,3,0,1,0,1,1,2,2,3
"34","Cynoscion nebulosus","Egg",1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1
"35","Cynoscion nebulosus","Juvenile",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
"36","Cynoscion nebulosus","Larval",1,0,1,1,0,0,0,0,1,1,0,1,1,0,2,1,2
"37","Cynoscion regalis","Adult",0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"38","Cynoscion regalis","Egg",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"39","Cynoscion regalis","Juvenile",1,0,1,0,0,1,0,0,1,1,1,2,0,0,0,0,2
"40","Dipturus laevis","Adult",1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"41","Gadus morhua","Adult",8,6,8,4,6,0,3,3,16,1,0,1,0,0,0,0,1
"42","Gadus morhua","Egg",2,1,3,0,1,2,0,3,5,0,0,0,1,0,0,0,1
"43","Gadus morhua","Juvenile",3,2,3,1,1,1,0,0,4,0,0,0,0,0,0,0,0
"44","Gadus morhua","Larval",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"45","Gadus morhua L.","Larval",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Glyptocephalus cynoglossus","Adult",1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"47","Glyptocephalus cynoglossus","Larval",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"48","Hippoglossoides platessoides","Adult",0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"49","Hippoglossus hippoglossus","Egg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"50","Hippoglossus hippoglossus","Juvenile",1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"51","Hippoglossus hippoglossus","Larval",1,0,1,1,0,0,0,0,1,2,0,2,1,0,0,0,2
"52","Hippoglossus hippoglossus L.","Juvenile",2,3,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0
"53","Hippoglossus hippoglossus L.","Larval",2,1,2,0,1,0,0,1,3,1,0,2,0,0,0,1,2
"54","Hippogloussus hippoglossus","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"55","Hippogloussus hippoglossus","Juvenile",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"56","Homarus americanus","Adult",2,0,3,1,2,2,1,1,5,0,0,0,0,0,1,0,1
"57","Homarus americanus","Egg",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"58","Homarus americanus","Juvenile",1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
"59","Homarus americanus","Larval",1,1,1,0,1,2,0,4,5,1,0,1,0,0,0,1,1
"60","Illex illecebrosus","Egg",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"61","Leiostomus xanthurus","Juvenile",0,0,0,1,1,1,0,2,3,1,0,1,1,1,0,0,2
"62","Leucoraja erinacea","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"63","Leucoraja garmani","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"64","Leucoraja ocellata","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"65","Limanda ferruginea","Egg",1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
"66","Lophius americanus","Adult",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"67","Lopholatilus chamaeleonticeps","Adult",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"68","Malacoraja senta","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"69","Melanogrammus aeglefinus","Adult",2,3,1,2,0,0,0,0,4,0,1,0,0,0,0,0,1
"70","Melanogrammus aeglefinus","Egg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"71","Melanogrammus aeglefinus","Juvenile",2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"72","Melanogrammus aeglefinus","Larval",0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1
"73","Merluccius albidus","Adult",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"74","Micropoginias undulatus","Adult",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"75","Micropogonias undulatus","Adult",2,2,1,0,0,0,0,0,3,2,0,2,0,0,0,0,2
"76","Micropogonias undulatus","Egg",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"77","Micropogonias undulatus","Juvenile",0,1,0,1,0,2,0,0,3,1,0,1,0,0,0,0,1
"78","Micropogonias undulatus","Larval",0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
"79","Morone saxatilis","Adult",1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1
"80","Morone saxatilis","Egg",1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1
"81","Morone saxatilis","Juvenile",2,0,2,0,1,1,0,0,3,1,1,1,0,0,1,0,1
"82","Morone saxatilis","Larval",1,2,1,1,1,1,0,1,3,1,0,1,0,2,0,1,2
"83","Morone saxitilis","Adult",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"84","Morone saxitilis","Larval",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"85","Pandalus borealis","Adult",4,0,5,0,3,1,0,0,6,0,0,0,0,0,0,0,0
"86","Pandalus borealis","Juvenile",2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"87","Pandalus borealis","Larval",1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"88","Paralichthys dentatus","Juvenile",2,0,2,0,1,1,0,1,3,0,0,0,0,0,0,0,0
"89","Paralichthys dentatus","Larval",1,1,1,0,0,1,0,0,2,2,0,2,0,0,0,0,2
"90","Placopecten magellanicus","Adult",1,0,3,2,0,1,0,1,4,0,0,0,1,1,1,0,1
"91","Placopecten magellanicus","Juvenile",2,1,3,0,1,1,0,0,3,2,0,1,0,0,0,0,2
"92","Pleuronectes americanus","Adult",1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"93","Pleuronectes americanus","Juvenile",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"94","Pleuronectes americanus)","Adult",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"95","Pollachius virens","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"96","Pomatomus saltatrix","Adult",0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"97","Pseudopleuronectes americanus","Adult",2,0,2,2,2,0,0,1,3,0,0,0,0,0,0,0,0
"98","Pseudopleuronectes americanus","Egg",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"99","Pseudopleuronectes americanus","Juvenile",1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"100","Pseudopleuronectes americanus","Larval",0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2
"101","Pseudopleuronectes americanus and Stenotomus chrysops, L.","Juvenile",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"102","Raja eglanteria","Adult",1,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1
"103","Salmo salar","Adult",2,1,2,2,2,0,1,4,8,0,1,0,0,1,0,0,1
"104","Salmo salar","Egg",0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
"105","Salmo salar","Juvenile",3,1,4,4,4,2,0,5,12,0,1,0,0,0,0,0,1
"106","Salmo salar","Larval",0,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
"107","Sciaenops ocellata","Egg",0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
"108","Sciaenops ocellatus","Adult",2,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0
"109","Sciaenops ocellatus","Juvenile",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"110","Sciaenops ocellatus","Larval",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"111","Sciaenops octellatus","Juvenile",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"112","Scomber scombrus","Adult",3,1,3,1,1,0,0,0,4,0,0,0,0,0,0,0,0
"113","Scomber scombrus","Egg",2,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"114","Scomber scombrus","Larval",2,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"115","Scophthalmus aquosus","Juvenile",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"116","Scophthalmus aquosus","Larval",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"117","Spisula solidissima","Adult",2,1,3,3,2,1,0,0,6,1,0,1,0,0,0,0,1
"118","Spisula solidissima","Juvenile",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"119","Spisula solidissima","Larval",1,2,1,0,0,1,0,1,3,0,1,0,0,0,0,0,1
"120","Squalus acanthias","Adult",6,3,6,1,1,0,0,0,8,2,1,2,0,0,0,0,2
"121","Squalus acanthias","Juvenile",2,1,1,1,1,0,0,1,3,1,1,1,0,0,0,0,1
"122","Squalus acanthias","Larval",1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1
"123","Stenotomus chrysops, L.","Juvenile",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"124","Tautoga onitis","Adult",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"125","Tautoga onitis","Larval",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
